id,weapon,category,season,rank,points
164,Foil,Veterans,2016/2017,78,0.0
164,Foil,Veterans,2016/2017,78,0.0
164,Foil,Veterans,2017/2018,37,0.0
164,Foil,Veterans,2017/2018,37,0.0
234,Foil,Senior,2007/2008,52,56.0
234,Foil,Senior,2008/2009,80,22.0
1276,Sabre,Senior,2005/2006,72,16.0
1276,Sabre,Senior,2005/2006,72,16.0
1276,Sabre,Senior,2006/2007,306,0.0
1276,Sabre,Senior,2006/2007,306,0.0
1276,Sabre,Senior,2007/2008,384,0.0
1276,Sabre,Senior,2007/2008,384,0.0
1276,Sabre,Senior,2008/2009,281,0.0
1276,Sabre,Senior,2008/2009,281,0.0
1412,Foil,Senior,2002/2003,49,4.0
1412,Foil,Senior,2003/2004,56,23.0
1412,Foil,Senior,2004/2005,50,27.0
1412,Foil,Senior,2005/2006,224,2.0
1412,Foil,Senior,2006/2007,156,4.0
1412,Foil,Senior,2016/2017,71,21.0
1424,Foil,Senior,2003/2004,83,12.0
1424,Foil,Senior,2004/2005,30,40.0
1424,Foil,Senior,2005/2006,131,6.0
1424,Foil,Senior,2006/2007,51,32.0
1424,Foil,Senior,2007/2008,64,48.0
1424,Foil,Senior,2008/2009,149,6.0
1424,Foil,Senior,2010/2011,145,8.0
1424,Foil,Senior,2011/2012,60,21.0
1424,Foil,Senior,2013/2014,96,12.0
1424,Foil,Senior,2014/2015,300,0.0
1424,Foil,Senior,2015/2016,141,6.0
1455,Foil,Junior,2006/2007,153,6.0
1455,Foil,Senior,2003/2004,184,2.0
1455,Foil,Senior,2004/2005,68,14.0
1455,Foil,Senior,2005/2006,133,6.0
1455,Foil,Senior,2006/2007,313,0.0
1455,Foil,Senior,2007/2008,126,12.0
1455,Foil,Senior,2008/2009,156,4.0
1455,Foil,Senior,2010/2011,151,8.0
1455,Foil,Senior,2011/2012,125,6.0
1455,Foil,Senior,2012/2013,90,12.0
1455,Foil,Senior,2013/2014,51,28.0
1455,Foil,Senior,2014/2015,77,17.0
1455,Foil,Senior,2015/2016,61,23.0
1455,Foil,Senior,2016/2017,101,9.5
1455,Foil,Senior,2017/2018,75,19.0
1455,Foil,Senior,2018/2019,80,19.0
1455,Foil,Senior,2019/2020,104,13.75
1455,Foil,Senior,2020/2021,98,14.5
1455,Foil,Senior,2021/2022,93,16.0
1522,Sabre,Senior,2006/2007,221,2.0
1522,Sabre,Senior,2006/2007,221,2.0
1522,Sabre,Veterans,2017/2018,59,0.0
1522,Sabre,Veterans,2017/2018,59,0.0
1610,Foil,Senior,2006/2007,345,0.0
1610,Foil,Senior,2006/2007,345,0.0
1610,Foil,Veterans,2016/2017,19,0.0
1610,Foil,Veterans,2016/2017,19,0.0
1610,Foil,Veterans,2017/2018,43,0.0
1610,Foil,Veterans,2017/2018,43,0.0
1633,Foil,Senior,2002/2003,47,4.0
1633,Foil,Senior,2003/2004,66,16.0
1633,Foil,Senior,2004/2005,153,4.0
1633,Foil,Senior,2005/2006,51,32.0
1633,Foil,Senior,2006/2007,56,28.0
1633,Foil,Senior,2007/2008,84,28.0
1633,Foil,Senior,2008/2009,145,8.0
1633,Foil,Senior,2009/2010,126,10.0
1633,Foil,Senior,2010/2011,247,2.0
1633,Foil,Senior,2011/2012,277,0.0
1633,Foil,Senior,2013/2014,286,0.0
1633,Foil,Senior,2014/2015,359,0.0
1633,Foil,Senior,2019/2020,310,0.25
1633,Foil,Senior,2020/2021,308,0.25
1633,Foil,Senior,2021/2022,305,0.25
1697,Sabre,Senior,2002/2003,52,4.0
1697,Sabre,Senior,2002/2003,52,4.0
1697,Sabre,Senior,2003/2004,99,5.0
1697,Sabre,Senior,2003/2004,99,5.0
1697,Sabre,Senior,2005/2006,65,22.0
1697,Sabre,Senior,2005/2006,65,22.0
1697,Sabre,Senior,2006/2007,135,6.0
1697,Sabre,Senior,2006/2007,135,6.0
1697,Sabre,Senior,2007/2008,344,0.0
1697,Sabre,Senior,2007/2008,344,0.0
1697,Sabre,Senior,2008/2009,150,8.0
1697,Sabre,Senior,2008/2009,150,8.0
1697,Sabre,Senior,2009/2010,179,6.0
1697,Sabre,Senior,2009/2010,179,6.0
1697,Sabre,Senior,2010/2011,188,6.0
1697,Sabre,Senior,2010/2011,188,6.0
1697,Sabre,Senior,2011/2012,261,0.0
1697,Sabre,Senior,2011/2012,261,0.0
1835,Foil,Junior,2004/2005,147,6.0
1835,Foil,Junior,2004/2005,147,6.0
1835,Foil,Junior,2005/2006,150,8.0
1835,Foil,Junior,2005/2006,150,8.0
1835,Foil,Junior,2006/2007,23,56.0
1835,Foil,Junior,2006/2007,23,56.0
1835,Foil,Senior,2005/2006,243,2.0
1835,Foil,Senior,2005/2006,243,2.0
1835,Foil,Senior,2016/2017,302,0.0
1835,Foil,Senior,2016/2017,302,0.0
2301,Foil,Senior,2005/2006,246,1.0
2301,Foil,Senior,2005/2006,246,1.0
2301,Foil,Senior,2006/2007,258,1.0
2301,Foil,Senior,2006/2007,258,1.0
2301,Foil,Senior,2007/2008,276,1.0
2301,Foil,Senior,2007/2008,276,1.0
2301,Foil,Senior,2010/2011,277,0.0
2301,Foil,Senior,2010/2011,277,0.0
