competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
121,2021,Grand Prix,Senior,QATAR,2021-03-26,2021-03-28,Foil,Womens,Asia/Qatar,https://fie.org/competitions/2021/121,2021-121,
41,2017,Tournoi international,Junior,GERMANY,2016-10-28,2016-10-28,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2017/41,2017-41,
800,2015,Championnats Panaméricains,Senior,CHILE,2015-04-17,2015-04-26,Foil,Womens,America/Santiago,https://fie.org/competitions/2015/800,2015-800,
243,2019,Championnats du Monde,Senior,HUNGARY,2019-07-16,2019-07-19,Foil,Womens,Europe/Budapest,https://fie.org/competitions/2019/243,2019-243,
237,2016,Championnats du monde juniors-cadets,Cadet,FRANCE,2016-04-01,2016-04-01,Foil,Womens,Europe/Paris,https://fie.org/competitions/2016/237,2016-237,
225,2021,Championnats du monde juniors-cadets,Junior,EGYPT,2021-04-06,2021-04-06,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2021/225,2021-225,
586,2018,Championnats d'Afrique,Senior,TUNISIA,2018-06-07,2018-06-07,Foil,Womens,Africa/Tunis,https://fie.org/competitions/2018/586,2018-586,
1061,2021,Championnats de qualification - Afrique,Senior,EGYPT,2021-04-23,2021-04-23,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2021/1061,2021-1061,
1281,2015,Tournoi satellite fleuret féminin,Senior,DENMARK,2015-05-10,2015-05-10,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2015/1281,2015-1281,
1230,2018,Tournoi satellite,Senior,SPAIN,2018-02-24,2018-02-25,Foil,Womens,Europe/Madrid,https://fie.org/competitions/2018/1230,2018-1230,
1299,2016,Championnats d'Afrique,Cadet,MALI,2016-03-02,2016-03-02,Foil,Womens,Africa/Bamako,https://fie.org/competitions/2016/1299,2016-1299,
351,2017,Championnats d’Europe juniors,Junior,BULGARIA,2017-03-06,2017-03-06,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2017/351,2017-351,
