"id","cout_materiaux_ht","cout_implementation_ht","cout_total_ht","cout_induit_ht","date_sigture_devis","date_facture","date_x","annee_travaux","revenu_mo","climat","Code Région","region","Code département","departement","type_logement","annee_construction","constr_cat","nb_pieces","surf_habitable","montant_aides_fincieres","type_aides_fincieres","renovation_globale","marque","modele","poste_isolation","isolant","epaisseur","resistance","surface","lambda"
"1",,,29.38388626,,,"22/11/2016","22/11/2016",2016,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"ITI","LAINE MINERALE",,4,,
"2",,,30,,,,,,,"H2",84,"ARA",,,,,,,,,,,,,"ITE",,,,,
"3",,,38.86255924,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES",,,7,,
"4",,,40.75829384,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",350,7,,0.05
"5",,,45.49763033,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,7,,
"6",,,48.34123223,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,,
"7",,,53.08056872,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,2,,
"8",,,55.92417062,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES",,,7,,
"9",,,66.3507109,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"ISOVER","GR32","ITI","LAINE MINERALE",120,3.8,,0.032
"10",,,68.2464455,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,7.2,,
"11",,,70.14218009,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES",,,7.2,,
"12",,,78.67298578,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,,
"13",,,79.62085308,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES",,,7,,
"14",,,85.30805687,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"ITE","PLASTIQUES",120,,,
"15",,,94,,"27/06/2018",,"27/06/2018",2018,,"H1",44,"GDE","68","HAUT-RHIN",,1800,"av. 1945",,90,,,,"KUF","THANE SOL","PLANCHER BAS","PLASTIQUES",100,4.7,94.1,
"16",,,119.4312796,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,,
"17",,,123.2227488,,,"11/09/2014","11/09/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,6,10,
